rank,beer_name,brewery,style,alcohol_pct,n_ratings,avg_rating,general_style,substyle
93,Mexican Cake - Maple Bourbon Barrel-Aged,Westbrook Brewing Co.,Stout - American Imperial,10.2,193,4.59,Stout,American Imperial
94,West Ashley,Sante Adairius Rustic Ales,Farmhouse Ale - Saison,7.3,1199,4.56,Farmhouse Ale,Saison
95,Ephraim,Hill Farmstead Brewery,IPA - New England,10.0,1129,4.56,IPA,New England
96,Coffee Cinnamon B-Bomb,Fremont Brewing Company,Strong Ale - American,13.0,1112,4.56,Strong Ale,American
97,Hellaboozie (Bourbon Barrel Aged Dark Lord Imperial Stout),3 Floyds Brewing Co.,Stout - Russian Imperial,15.0,960,4.56,Stout,Russian Imperial
98,4th Anniversary,Other Half Brewing Company,IPA - New England,10.0,248,4.58,IPA,New England
99,Saison Du Fermier,Side Project Brewing,Farmhouse Ale - Saison,7.0,871,4.56,Farmhouse Ale,Saison
100,Bourbon Paradise,Prairie Artisan Ales,Stout - American Imperial,13.7,811,4.56,Stout,American Imperial
101,Pirate Paradise,Prairie Artisan Ales,Stout - American Imperial,13.0,349,4.57,Stout,American Imperial
102,Black Tuesday - Reserve,The Bruery,Stout - American Imperial,20.5,333,4.57,Stout,American Imperial
103,Supplication,Russian River Brewing Company,Wild Ale,7.75,6691,4.55,Wild Ale,
104,Beatification,Russian River Brewing Company,Wild Ale,6.0,2885,4.55,Wild Ale,
105,Keene Idea,Alpine Beer Company,IPA - Imperial,8.88,536,4.56,IPA,Imperial
106,Fourth Dementia - Bourbon Barrel-Aged,Kuhnhenn Brewing Company,Old Ale,13.5,2027,4.55,Old Ale,
107,Galaxy Dry Hopped Fort Point Pale Ale,Trillium Brewing Company,Pale Ale - American,6.6,1777,4.55,Pale Ale,American
108,Miami Madness,J. Wakefield Brewing,Sour - Fruited Kettle Sour,5.5,482,4.56,Sour,Fruited Kettle Sour
109,Double Double Cask,Kane Brewing Company,Barleywine - American,15.7,78,4.63,Barleywine,American
110,Triple Sunshine,Lawson's Finest Liquids,IPA - Imperial,10.5,1161,4.55,IPA,Imperial
111,Leaner,Casey Brewing & Blending,Farmhouse Ale - Saison,8.0,240,4.57,Farmhouse Ale,Saison
112,Sunday Brunch,Kane Brewing Company,Porter - Imperial,9.2,848,4.55,Porter,Imperial
113,The Rusty Nail,Fremont Brewing Company,Stout - Oatmeal,13.3,774,4.55,Stout,Oatmeal
114,Sunday Brunch - Bourbon Barrel-Aged,Kane Brewing Company,Porter - Imperial,11.0,109,4.6,Porter,Imperial
